Juego; Calificacion Critico; Calificacion Usuario; Promedio
Brain Age: Concentration Training;69;7.2;38
Fire Emblem: Awakening - Champions of Yore 2;;;0
Fire Emblem: Awakening;92;9.0;50
Fire Emblem: Awakening - Champions of Yore 1;;;0
Tokyo Crash Mobs;68;7.4;37
Chase Mii;;;0
Fluidity: Spin Cycle;78;6.6;42
New Super Mario Bros. 2: Mystery Adventure Pack;;7.7;0
New Super Mario Bros. 2: Impossible Pack;;7.6;0
New Super Mario Bros. 2: Coin Challenge Pack C;;7.6;0
New Super Mario Bros. 2: Platform Panic Pack;;7.0;0
New Super Mario Bros. 2: Gold Classics Pack;;7.1;0
Crashmo;86;8.2;47
New Super Mario Bros. U;84;8.0;46
Ninja Gaiden 3: Razor's Edge;69;7.4;38
SiNG Party;60;6.1;33
Nintendo Land;77;7.9;42
Paper Mario: Sticker Star;75;5.5;40
Pokedex 3D Pro;59;4.3;31
Freakyforms Deluxe: Your Creations, Alive!;63;7.5;35
Professor Layton and the Miracle Mask;82;8.1;45
New Super Mario Bros. 2: Coin Challenge Pack B;;7.1;0
New Super Mario Bros. 2: Gold Mushroom Pack;;7.1;0
Style Savvy: Trendsetters;76;7.6;41
Sparkle Snapshots 3D;67;;0
Wii Sports/Wii Sports Resort;;8.4;0
Pokemon Black Version 2;80;8.1;44
Pokemon White Version 2;80;8.0;44
Pokemon Dream Radar;54;5.9;29
New Super Mario Bros. 2: Coin Challenge Pack A;;7.9;0
New Super Mario Bros. 2: Gold Rush Pack;;7.3;0
New Super Mario Bros. 2: Nerve-Wrack Pack;;7.5;0
Art Academy: Lessons for Everyone;81;7.5;44
Art Academy: Lessons for Everyone;;;0
Crosswords Plus;;7.8;0
Inazuma Eleven Strikers;59;8.3;33
Kirby's Dream Collection: Special Edition;82;8.9;45
New Super Mario Bros. 2;78;7.1;42
Project Zero 2: Wii Edition;77;8.4;42
Pokemon Conquest;80;8.1;44
New Play Control! Pikmin 2;;8.7;0
Mario Tennis Open;69;6.9;37
Spirit Camera: The Cursed Memoir;54;6.4;30
Ketzal's Corridors;76;7.6;41
Xenoblade Chronicles;92;9.1;50
Kid Icarus: Uprising;83;8.7;45
3D Classics: Kid Icarus;77;7.4;42
Inazuma Eleven 2: Firestorm;74;8.6;41
Inazuma Eleven 2: Blizzard;74;8.2;41
Mario Party 9;73;6.8;39
PokePark 2: Wonders Beyond;60;7.7;33
Dillon's Rolling Western;65;7.6;36
Rhythm Heaven Fever;83;8.3;45
One Piece: Unlimited Cruise SP;46;6.8;26
Sakura Samurai: Art of the Sword;74;7.3;40
Pro Wrestling;;;0
The Legend of Zelda: Link's Awakening DX;;;0
Super Mario Land;;;0
Deer Drive Legends;;;0
Swapnote;;7.3;0
Pushmo;90;8.3;49
Fortune Street;68;7.6;37
Mario Kart 7;85;8.2;46
The Legend of Zelda: Skyward Sword;93;8.1;50
3D Classics: Kirby's Adventure;77;7.9;42
Fossil Fighters: Champions;68;7.9;37
Super Mario 3D Land;90;8.4;49
Freakyforms: Your Creations, Alive!;68;7.7;37
Kirby's Return to Dream Land;77;8.8;42
Pokemon Rumble Blast;56;6.8;31
Professor Layton and the Last Specter;83;8.1;45
Tetris Axis;74;7.1;40
The Legend of Zelda: Four Swords Anniversary Edition;85;7.5;46
3D Classics: TwinBee;68;7.3;37
Kirby Mass Attack;83;7.9;45
Dragon Quest Monsters: Joker 2;77;7.6;42
Star Fox 64 3D;81;8.1;44
Inazuma Eleven;74;7.9;40
3D Classics: Urban Champion;37;4.8;20
3D Classics: Xevious;56;5.8;30
Nintendo Video;;5.9;0
Mystery Case Files: The Malgrave Incident;65;7.4;36
The Legend of Zelda: Ocarina of Time 3D;94;9.0;51
Wii Play: Motion;60;6.4;33
Pokedex 3D;69;6.6;37
3D Classics: Excitebike;;6.6;0
Nintendogs + Cats: Golden Retriever & New Friends;71;7.2;39
Pilotwings Resort;71;7.2;39
Steel Diver;58;6.3;32
Nintendogs + Cats: Toy Poodle & New Friends;71;7.5;39
Nintendogs + Cats: French Bulldog & New Friends;71;7.1;39
AR Games;;7.1;0
Face Raiders;;7.2;0
StreetPass Mii Plaza;;7.7;0
Nintendo 3DS;;8.1;0
Mii Maker;;6.5;0
Nintendo 3DS Internet Browser;;;0
Pokemon Black Version;87;7.9;47
Pokemon White Version;87;7.9;47
Dragon Quest VI: Realms of Revelation;78;8.3;43
Mario Sports Mix;64;7.9;35
Disaster: Day of Crisis;69;8.8;38
Another Code R: A Journey into Lost Memories;66;7.8;36
Fluidity;;;0
Mario Party 2;;8.6;0
Super Mario All-Stars: 25th Anniversary Edition;70;7.8;38
Fluidity;86;7.8;46
Golden Sun: Dark Dawn;79;8.1;43
Snowpack Park;;;0
Donkey Kong Country Returns;87;8.6;47
Mario vs. Donkey Kong: Mini-Land Mayhem;79;8.1;43
FlingSmash;48;7.4;27
PokePark Wii: Pikachu's Adventure;62;7.7;34
Art Academy;75;7.6;41
ThruSpace;73;8.3;40
Snapdots;;;0
Kirby's Epic Yarn;86;8.5;47
Pokemon Ranger: Guardian Signs;68;8.1;38
Wii Party;68;8.0;38
Samurai Warriors 3;55;7.6;31
Nintendo Countdown Calendar;;;0
Professor Layton and the Unwound Future;86;8.7;47
Metroid: Other M;79;6.7;42
Face Pilot: Fly With Your Nintendo DSi Camera!;;;0
AquaSpace;45;5.6;25
Dragon Quest IX: Sentinels of the Starry Skies;87;8.6;47
Mario Tennis;;;0
Sin & Punishment: Star Successor;87;8.5;47
Art Style: Rotozoa;68;;0
Spin Six;74;;0
100 Classic Books;70;6.5;38
A Kappa's Trail;;8.1;0
Flametail;76;;0
X-Scape;82;7.0;44
Phoenix Wright: Ace Attorney Episode 5: Rise From the Ashes;;8.0;0
Art Style: light trax;76;;0
Metal Torrent;62;9.6;35
Super Mario Galaxy 2;97;9.1;53
Kirby Super Star;;8.5;0
Looksley's Line Up;;;0
Photo Dojo;70;7.0;38
Picross 3D;83;8.2;45
Game & Watch: Flagman;;;0
Game & Watch: Ball;;;0
Game & Watch: Donkey Kong Jr.;;7.9;0
Game & Watch: Vermin;;;0
Game & Watch: Helmet;;;0
Game & Watch: Manhole;;;0
Grill-Off with Ultra Hand!;;;0
Game & Watch Collection 2;;;0
WarioWare D.I.Y. Showcase;73;7.8;40
Nintendo DSi Metronome;;7.4;0
Nintendo DSi Instrument Tuner;;;0
WarioWare D.I.Y.;82;8.2;45
America's Test Kitchen: Let's Get Cooking;;;0
America's Test Kitchen: Let's Get Cooking;87;6.3;46
Game & Watch: Judge;;;0
Game & Watch: Chef;;;0
Game & Watch: Mario's Cement Factory;;;0
Pokemon HeartGold Version;87;9.1;48
Pokemon SoulSilver Version;87;9.2;48
Endless Ocean: Blue World;76;8.6;42
Aura-Aura Climber;;6.0;0
Spotto!;84;5.8;44
Link 'n' Launch;73;;0
True Swing Golf Express;;;0
Number Battle;77;6.8;41
Glory of Heracles;69;7.4;38
Starship Defense;82;7.5;44
Touch Solitaire;;;0
Phoenix Wright: Ace Attorney;67;8.7;37
Trajectile;77;;0
Master of Illusion Express: Psychic Camera;;;0
Pilotwings;;;0
Super Smash Bros.;;7.8;0
Eco Shooter: Plant 530;56;;0
Master of Illusion Express: Matchmaker;;;0
The Legend of Zelda: Spirit Tracks;87;7.9;47
Master of Illusion Express: Mind Probe;;;0
Electroplankton: Lumiloop;;;0
Electroplankton: Sun-Animalcule;;;0
Electroplankton: Varvoice;;;0
Electroplankton: Marine-Crystals;;;0
Electroplankton: Luminarrow;;;0
Super Mario Kart;;7.2;0
Pokemon Rumble;59;8.2;33
Art Style: DIGIDRIVE;83;6.8;44
New Super Mario Bros. Wii;87;8.4;47
Electroplankton: Beatnes;;;0
Electroplankton: Trapy;;;0
Electroplankton: Nanocarp;;;0
Electroplankton: Hanenbow;;7.5;0
Electroplankton: Rec-Rec;;;0
Excitebike: World Rally;70;7.5;38
Style Savvy;73;7.5;40
Sparkle Snapshots;;;0
Doc Louis's Punch-Out!!;;8.7;0
PictureBook Games: The Royal Bluff;;;0
Crash-Course Domo;;;0
Hard-Hat Domo;;;0
Pro-Putt Domo;;;0
Rock-n-Roll Domo;;;0
White-Water Domo;;;0
Pokemon Mystery Dungeon: Explorers of Sky;54;9.0;31
Pinball Pulse: The Ancients Beckon;74;;0
Wii Fit Plus;80;7.6;43
Art Academy: Second Semester;;;0
Clubhouse Games Express: Strategy Pack;;;0
You, Me, and the Cubes;79;7.0;43
Mario & Luigi: Bowser's Inside Story;90;8.8;49
Art Academy: First Semester;;8.0;0
Clubhouse Games Express: Family Favorites;;;0
Puzzle League Express;;;0
Professor Layton and the Diabolical Box;84;8.5;46
Metroid Prime Trilogy;91;9.2;50
Picture Book Games: Pop-Up Pursuit;;;0
Brain Age Express: Sudoku;;;0
Flipnote Studio;93;7.7;50
Fossil Fighters;70;8.4;39
Rock N' Roll Climber;72;;0
Brain Age Express: Arts & Letters;;;0
Art Style: precipice;;7.3;0
Wii Sports Resort;80;8.3;44
Art Style: ZENGAGE;65;;0
Art Style: BASE 10;77;;0
Bit.Trip Core;80;8.1;44
Art Style: BOXLIFE;80;6.8;43
Mario Calculator;;6.3;0
Mario Clock;;6.0;0
Mario vs. Donkey Kong: Minis March Again!;82;7.9;44
The Legendary Starfy;75;8.4;41
Personal Trainer: Walking;69;7.3;38
Photo Clock;;;0
Punch-Out!!;86;8.6;47
Art Style: PiCTOBiTS;83;7.5;45
The Legend of Zelda: Majora's Mask;;8.7;0
New Play Control! Donkey Kong Jungle Beat;78;8.5;43
Animal Crossing Calculator;;;0
Animal Crossing Clock;;;0
Paper Airplane Chase;51;7.2;29
Clubhouse Games Express: Card Classics;;;0
Dr. Mario Express;76;7.4;41
Excitebots: Trick Racing;77;8.1;42
Master of Illusion Express: Deep Psyche;;;0
Master of Illusion Express: Shuffle Games;;;0
Rhythm Heaven;83;8.4;45
Art Style: AQUIA;70;7.3;38
Nintendo DSi Browser;;;0
Master of Illusion Express: Funny Face;;;0
Bird & Beans;71;7.8;39
Brain Age Express: Math;69;;0
WarioWare: Snapped!;53;4.1;28
Super Punch-Out!!;;8.9;0
Bonsai Barber;75;7.4;41
Pokemon Platinum Version;83;8.9;45
Bit.Trip Beat;80;8.3;44
New Play Control! Pikmin;77;8.4;42
New Play Control! Mario Power Tennis;65;7.6;36
Fire Emblem: Shadow Dragon;81;7.1;44
Lonpos;56;;0
Personal Trainer: Math;63;;0
Kirby's Dream Land 3;;8.0;0
Maboshi's Arcade;85;7.9;46
StarTropics II: Zoda's Revenge;;8.6;0
Game & Watch Collection;;;0
Personal Trainer: Cooking;81;8.1;44
Animal Crossing: City Folk;73;7.9;40
Pokemon Ranger: Shadows of Almia;68;7.9;37
Art Style: ROTOHEX;70;;0
Wii Music;63;4.8;33
Art Style: CUBELLO;73;7.6;40
Mario Golf;;;0
Art Style: ORBIENT;82;8.2;45
Wario Land: Shake It!;78;8.5;43
Kirby Super Star Ultra;76;8.8;42
Mystery Case Files: MillionHeir;65;;0
Super Mario RPG: Legend of the Seven Stars;;8.9;0
Clu Clu Land;;8.4;0
Mario Super Sluggers;69;7.9;38
Donkey Kong 3;;;0
Magnetica Twist;70;7.8;38
My Pokemon Ranch;47;5.3;26
Dr. Mario Online RX;72;8.2;40
Wii Fit;80;7.7;43
CrossworDS;67;7.3;37
Pokemon Puzzle League;;7.9;0
Mario Kart Wii;82;8.5;45
Pokemon Mystery Dungeon: Explorers of Darkness;59;8.6;33
Pokemon Mystery Dungeon: Explorers of Time;60;8.4;34
Yoshi's Cookie;;;0
Cruis'n USA;;8.6;0
Super Smash Bros. Brawl;93;8.8;50
Kirby 64: The Crystal Shards;;8.6;0
Professor Layton and the Curious Village;85;8.4;46
1080: TenEighty Snowboarding;;8.6;0
Mario & Sonic at the Olympic Games;70;7.0;38
Endless Ocean;72;8.2;40
Adventures of Lolo 2;;;0
Advance Wars: Days of Ruin;86;8.5;47
StarTropics;;8.8;0
Donkey Kong Country 3: Dixie Kong's Double Trouble;;8.4;0
Pokemon Snap;;7.8;0
Master of Illusion;69;;0
Vegas Stakes;;;0
Mario Party DS;72;7.8;39
Wrecking Crew;;;0
Link's Crossbow Training;68;7.1;37
Super Mario Galaxy;97;9.1;53
Volleyball;;;0
Mario & Sonic at the Olympic Games;67;7.6;37
Fire Emblem: Radiant Dawn;78;8.9;43
Super Mario Bros. 3;;9.0;0
Battalion Wars 2;75;8.2;41
Flash Focus: Vision Training in Minutes a Day;59;3.8;31
Donkey Kong: Barrel Blast;46;6.6;26
The Legend of Zelda: Phantom Hourglass;90;7.9;48
Super Mario Bros.: The Lost Levels;;5.8;0
Sin and Punishment;;8.6;0
Chibi-Robo! Park Patrol;78;7.7;42
Kirby's Avalanche;;8.2;0
Yoshi's Story;;;0
DK: Jungle Climber;77;6.7;41
NES Play Action Football;;;0
Donkey Kong Jr. Math;;5.0;0
Metroid Prime 3: Corruption;90;8.8;49
Brain Age 2: More Training in Minutes a Day;77;7.1;42
Super Metroid;;9.3;0
Shining in the Darkness;;;0
Metroid;;7.4;0
Wave Race 64;;8.3;0
Mario Strikers Charged;79;8.2;43
Picross DS;83;7.9;45
Kirby's Dream Course;;8.9;0
Paper Mario;;8.7;0
Balloon Fight;;6.8;0
Yoshi;;8.0;0
Mach Rider;;;0
Super Mario Bros. 2;;7.9;0
Pokemon Battle Revolution;53;6.6;29
F-Zero X;;7.8;0
World Sports Competition;;;0
NES Open Tournament Golf;;;0
Big Brain Academy: Wii Degree;68;7.1;37
Nintendo DS Web Browser;;6.3;0
Zelda II: The Adventure of Link;;7.1;0
Planet Puzzle League;86;7.9;46
ToeJam & Earl in Panic on Funkotron;;6.8;0
Mario Party 8;62;6.6;34
Kid Chameleon;;;0
Streets of Rage 2;;8.1;0
Blazing Lazers;;8.5;0
Donkey Kong Country 2: Diddy's Kong Quest;;8.9;0
Ninja Spirit;;;0
Mighty Bomb Jack;;;0
Final Fight;;8.5;0
Ordyne;;;0
Shockman;;;0
Pokemon Diamond Version;85;8.2;46
Pokemon Pearl Version;85;8.2;46
Punch-Out!! Featuring Mr. Dream;;8.6;0
Alex Kidd in the Enchanted Castle;;;0
Super Paper Mario;85;8.0;46
Star Fox 64;;7.8;0
Teenage Mutant Ninja Turtles;;;0
Romance of the Three Kingdoms IV: Wall of Fire;;;0
Custom Robo Arena;74;8.3;41
Excitebike;;7.3;0
Wario: Master of Disguise;60;7.3;33
Super Ghouls 'n Ghosts;;8.0;0
The Legend of Zelda: Ocarina of Time;;8.5;0
Chew-Man-Fu;;;0
Donkey Kong Country;;8.5;0
Everybody Votes;;;0
Wii Play;58;6.6;32
Ice Climber;;6.3;0
Kid Icarus;;7.9;0
Kirby's Adventure;;8.5;0
Diddy Kong Racing DS;63;7.0;35
Super Mario World;;8.9;0
Final Fantasy VI Advance;92;8.7;50
Mario Kart 64;;7.3;0
Hotel Dusk: Room 215;78;8.6;43
The Legend of Zelda: A Link to the Past;;8.8;0
WarioWare: Smooth Moves;83;7.6;45
Urban Champion;;;0
Baseball;;;0
Super Mario Bros.;;8.4;0
Tennis;;;0
Gunstar Heroes;;8.8;0
Ice Hockey;;;0
The Legend of Zelda: Twilight Princess;96;9.0;52
Internet Channel;;;0
Kirby: Squeak Squad;71;7.8;39
Donkey Kong Jr.;;;0
The Legend of Zelda: Twilight Princess;95;9.0;52
Excite Truck;72;8.3;40
Wii Sports;76;8.1;42
Wii Channels;;7.8;0
F-Zero;;8.8;0
Super Mario 64;;8.0;0
SimCity;;;0
The Legend of Zelda;;8.2;0
Donkey Kong;;7.1;0
Mario Bros.;;6.6;0
Pinball;;;0
Soccer;;;0
Wario's Woods;;7.6;0
Nintendo Wii;;8.1;0
Yoshi's Island DS;81;8.1;44
Elite Beat Agents;87;8.5;47
Final Fantasy V Advance;83;8.2;45
Children of Mana;65;6.4;35
Pokemon Ranger;69;7.2;38
Magical Starsign;69;7.8;38
Nintendogs: Dalmatian & Friends;83;7.4;45
Clubhouse Games;83;7.8;45
Mario vs. Donkey Kong 2: March of the Minis;76;7.8;41
Baten Kaitos Origins;75;8.3;41
Pokemon Mystery Dungeon: Blue Rescue Team;62;8.0;35
Pokemon Mystery Dungeon: Red Rescue Team;67;8.2;37
Mario Hoops: 3 on 3;69;7.8;38
Star Fox Command;76;6.8;41
Tenchu: Dark Secret;37;5.6;21
Sudoku Gridmaster;62;6.0;34
Big Brain Academy;74;7.4;40
Magnetica;68;7.7;37
New Super Mario Bros.;89;8.6;48
Brain Age: Train Your Brain in Minutes a Day!;77;7.5;42
Odama;62;7.6;34
Metroid Prime: Hunters;85;7.7;46
Tetris DS;84;7.9;45
Pokemon Trozei!;74;7.2;40
Tales of Phantasia;76;8.1;42
Super Princess Peach;75;8.0;41
Chibi-Robo!;75;8.8;41
Drill Dozer;81;8.7;44
True Swing Golf;66;7.7;36
Electroplankton;71;7.0;39
Final Fantasy IV Advance;85;8.4;46
Animal Crossing: Wild World;86;8.5;47
Super Mario Strikers;76;8.6;42
Mario Tennis: Power Tour;81;8.6;44
Mario & Luigi: Partners in Time;86;8.5;47
Dr. Mario / Puzzle League;74;8.0;41
Mario Kart DS;91;8.7;49
Mario Party 7;64;7.7;35
Donkey Kong Country 3;77;8.2;42
Metroid Prime Pinball;79;7.9;43
Nintendogs: Best Friends;;7.3;0
Dance Dance Revolution: Mario Mix;69;8.1;38
Fire Emblem: Path of Radiance;85;9.1;47
Pokemon XD: Gale of Darkness;64;8.2;36
Trace Memory;70;8.1;39
Battalion Wars;76;8.4;42
DK: King of Swing;70;5.7;37
Mario Superstar Baseball;76;8.4;42
Dynasty Warriors Advance;56;7.6;31
Advance Wars: Dual Strike;90;8.8;49
Nintendogs: Chihuahua & Friends;83;7.8;45
Nintendogs: Dachshund & Friends;83;7.9;45
Nintendogs: Lab & Friends;83;7.6;45
Geist;66;8.0;37
Meteos;88;7.4;47
Kirby: Canvas Curse;86;7.8;46
Yoshi Topsy-Turvy;60;7.1;33
Fire Emblem: The Sacred Stones;85;9.0;47
WarioWare: Twisted!;88;8.7;48
Donkey Konga 2;69;7.0;38
Pokemon Emerald Version;76;8.9;42
Polarium;73;8.2;40
Mario Party Advance;54;4.8;29
Yoshi Touch & Go;73;6.8;39
Pokemon Dash;46;5.3;25
Donkey Kong Jungle Beat;80;8.3;44
WarioWare: Touched!;81;8.2;44
Star Fox: Assault;67;8.2;37
The Legend of Zelda: The Minish Cap;89;8.9;48
Mario Party 6;71;7.9;39
Final Fantasy I & II: Dawn of Souls;79;8.0;43
PictoChat;;7.5;0
Super Mario 64 DS;85;8.3;46
Nintendo DS;;8.2;0
Metroid Prime: Hunters - First Hunt;;;0
Metroid Prime 2: Echoes;92;8.9;50
Donkey Kong Country 2;80;8.6;44
Mario Power Tennis;80;8.5;44
Classic NES Series: Dr. Mario;66;8.2;37
Classic NES Series: Castlevania;74;8.6;41
Classic NES Series: Zelda II: The Adventure of Link;73;7.0;40
Classic NES Series: Metroid;58;8.2;33
Kirby & the Amazing Mirror;80;8.6;44
Paper Mario: The Thousand-Year Door;87;9.1;48
Mario Pinball Land;62;4.2;33
Donkey Konga;76;7.9;41
F-Zero GP Legend;77;8.3;42
Pokemon FireRed Version;81;8.6;44
Pokemon LeafGreen Version;81;8.5;44
Pikmin 2;90;9.1;49
Hamtaro: Ham-Ham Games;77;8.3;42
Pokemon Box: Ruby and Sapphire;;5.0;0
Mario Golf: Advance Tour;84;8.5;46
The Legend of Zelda: Four Swords Adventures;86;7.6;46
Classic NES Series: Ice Climber;66;7.8;36
Classic NES Series: Excitebike;66;7.8;36
Classic NES Series: Super Mario Bros.;84;8.4;46
Classic NES Series: The Legend of Zelda;84;8.4;46
Classic NES Series: Donkey Kong;55;6.1;30
Classic NES Series: Pac-Man;53;7.8;30
Mario vs. Donkey Kong;81;8.2;44
Custom Robo;65;8.1;36
WarioWare, Inc.: Mega Party Game$!;76;8.0;42
Pokemon Colosseum;73;8.0;40
Final Fantasy Crystal Chronicles;80;8.9;44
Metroid: Zero Mission;89;9.1;49
Pac-Man vs.;78;8.3;43
1080: Avalanche;73;7.8;40
Sword of Mana;72;8.5;40
Pokemon Channel;55;6.4;30
Mario Kart: Double Dash!!;87;8.6;47
Mario & Luigi: Superstar Saga;90;8.8;49
The Legend of Zelda Collector's Edition;95;8.9;51
Mario Party 5;69;7.7;38
Fire Emblem;88;9.1;48
Top Gear Rally;78;7.5;42
Super Mario Advance 4: Super Mario Bros. 3;94;9.1;51
Kirby Air Ride;61;8.2;34
Final Fantasy Tactics Advance;87;9.0;48
F-Zero GX;89;8.6;48
Pokemon Pinball: Ruby & Sapphire;81;7.7;44
Mario Golf: Toadstool Tour;81;8.1;44
Wario World;71;7.6;39
Advance Wars 2: Black Hole Rising;89;8.8;48
Donkey Kong Country;78;8.7;43
WarioWare, Inc.: Mega Microgame$!;89;8.6;48
Golden Sun: The Lost Age;86;9.0;47
Hamtaro: Ham Ham Heartbreak;72;8.4;40
The Legend of Zelda: The Wind Waker;96;9.0;52
Pokemon Ruby Version;82;8.5;45
The Legend of Zelda: Ocarina of Time / Master Quest;91;8.9;49
The Legend of Zelda: A Link to the Past;95;9.0;52
Kirby: Nightmare in Dream Land;81;8.6;44
Metroid Prime;97;9.0;53
Metroid Fusion;92;9.0;50
Cubivore: Survival of the Fittest;71;8.1;39
Game & Watch Gallery 4;71;8.1;39
Mario Party 4;70;7.7;38
Yoshi's Island: Super Mario Advance 3;91;9.1;50
Star Fox Adventures;82;8.0;45
Animal Crossing;87;8.8;47
Super Mario Sunshine;92;8.3;50
Disney's Magical Mirror Starring Mickey Mouse;50;7.6;28
Disney's Magical Quest;70;;0
Eternal Darkness: Sanity's Requiem;92;8.8;50
Super Mario World: Super Mario Advance 2;92;9.1;50
NBA Courtside 2002;71;7.4;39
Super Smash Bros. Melee;92;9.0;50
Pikmin;89;8.7;48
Wario Land 4;88;8.8;48
Wave Race: Blue Storm;80;8.0;44
Luigi's Mansion;78;8.6;43
Golden Sun;91;9.0;50
Advance Wars;92;8.8;50
Mario Kart Super Circuit;93;8.0;50
F-Zero: Maximum Velocity;86;7.8;46
Super Mario Advance;84;8.2;46
Mario Party 3;74;8.2;41
Dr. Mario 64;71;7.3;39
Pokemon Stadium 2;78;8.4;43
Paper Mario;93;9.0;51
Banjo-Tooie;90;8.8;49
Mickey's Speedway USA;71;7.7;39
Hey You, Pikachu!;57;6.3;31
The Legend of Zelda: Majora's Mask;95;9.1;52
Pokemon Puzzle League;81;8.4;44
Mario Tennis;91;8.7;49
Kirby 64: The Crystal Shards;77;8.1;42
Starcraft 64;80;7.6;43
Perfect Dark;97;8.8;52
Excitebike 64;88;8.2;48
Ridge Racer 64;82;8.1;45
Mario Golf;91;7.8;49
Pokemon Snap;77;7.7;42
Super Smash Bros.;79;8.6;43
Mario Party;79;8.0;43
The Legend of Zelda: Ocarina of Time;99;9.1;54
F-Zero X;85;8.7;46
Banjo-Kazooie;92;9.2;50
Yoshi's Story;65;7.4;36
Diddy Kong Racing;88;8.4;48
GoldenEye 007;96;8.9;52
Star Fox 64;88;8.8;48
Blast Corps;90;8.4;49
Mario Kart 64;83;8.6;45
Wave Race 64;92;8.3;50
Pilotwings 64;80;7.9;43
Super Mario 64;94;9.1;51
Project H.A.M.M.E.R.;;;0
Jet Impulse;;;0
Line Attack Heroes;;;0
Wii U Play;;;0
Measure Up;;;0
Make 10;;;0
ASH: Archaic Sealed Heat;;;0
Nintendo Letterbox;;;0
Art Academy: Lessons for Everyone;;;0
Wii Karaoke U;68;7.8;37
Art Academy;;;0
Project Giant Robot;;;0
Zero: Tsukihami no Kamen;;;0
Blast Ball;;;0
FAST Racing Neo;;;0
Seasons of Heaven;;;0
Metroid Prime 4;;;0
Yo-kai Watch 4;;;0
Splatoon 3: Expansion Pass Wave 2 - Side Order;;;0
Mario Kart 8 Deluxe: Booster Course Pass - Wave 6;;;0
Princess Peach for Nintendo Switch;;;0
Luigi's Mansion: Dark Moon;;;0
